variables,mean_cv_rmse,mean_cv_adj_r2,coefficients,pvalues,target
"('B2', 'B5')",0.370182381,0.440951699,"{'const': 6.845570070527808, 'B2': -0.0008190314982720109, 'B5': 0.0012221766260458239}","{'const': 7.559899564299526e-10, 'B2': 0.022102863259272496, 'B5': 0.0009294624363024678}",pH
"('B4', 'B5')",0.360132945,0.464099401,"{'const': 7.934184389705446, 'B4': -0.003858870634714304, 'B5': 0.0038522731499295026}","{'const': 3.2047439250568516e-09, 'B4': 0.0066388126711116125, 'B5': 0.0019938541158085925}",pH
"('B5', 'B12')",1.849218126,0.529693602,"{'const': 39.662742508611686, 'B5': 0.00577659033409267, 'B12': -0.021444608482546923}","{'const': 0.0007416650124381549, 'B5': 0.00044548212354112923, 'B12': 0.028581155964048293}",Temperatur
"('B6', 'B12')",1.984938931,0.443033086,"{'const': 41.482488127947036, 'B6': 0.0056710144819481206, 'B12': -0.020567597160852005}","{'const': 0.0007312547518436201, 'B6': 0.0007432094470129984, 'B12': 0.0392101539698799}",Temperatur
"('B7', 'B12')",2.010213326,0.422247891,"{'const': 42.371865876197035, 'B7': 0.005550231593684547, 'B12': -0.021253466378279975}","{'const': 0.0007754339210335927, 'B7': 0.0010427362356936177, 'B12': 0.03942743838551478}",Temperatur
"('B11', 'B12')",1.94057498,0.331790855,"{'const': 43.06814456106321, 'B11': 0.03493174397733125, 'B12': -0.04923691253187004}","{'const': 0.002501648206024826, 'B11': 0.010209135105942681, 'B12': 0.017349224158083387}",Temperatur
"('B1',)",0.131699819,0.213808106,"{'const': 0.992460944638063, 'B1': -0.00018838688598763053}","{'const': 3.9783852110001335e-06, 'B1': 0.01809604257443859}",Fluoride
"('B1',)",47.60415956,0.399092782,"{'const': -79.7581558857245, 'B1': 0.08726598035809996}","{'const': 0.16747898489925644, 'B1': 0.005479308908619945}",Trubidity
"('B4',)",49.83040079,0.431533094,"{'const': -179.95188937175715, 'B4': 0.11619414052570715}","{'const': 0.04692135063677957, 'B4': 0.0045286219300513025}",Trubidity
"('B5',)",46.31627596,0.449976077,"{'const': -146.24642612580246, 'B5': 0.10071403414625148}","{'const': 0.0526881053337604, 'B5': 0.0031489047903779472}",Trubidity
"('B6',)",40.19914205,0.548398403,"{'const': -125.54150732960332, 'B6': 0.11400269861588652}","{'const': 0.02758108291580195, 'B6': 0.0005420466120801026}",Trubidity
"('B7',)",39.69538136,0.547304637,"{'const': -124.53690091925105, 'B7': 0.11191244832104129}","{'const': 0.029032964682856946, 'B7': 0.0005781173273772212}",Trubidity
"('B8A',)",40.06934191,0.537274564,"{'const': -123.31376823727597, 'B8A': 0.12688152705170622}","{'const': 0.03181082147012484, 'B8A': 0.0006615862127197495}",Trubidity
"('B11',)",51.11300264,0.329587175,"{'const': -404.13755555283103, 'B11': 0.40380272538358253}","{'const': 0.029555807902926, 'B11': 0.009473038386138407}",Trubidity
"('B1', 'B2')",65.3760796,0.33647878,"{'const': 447.927617949386, 'B1': 0.4411326138464509, 'B2': -0.48947422123579415}","{'const': 0.0007731289497332677, 'B1': 0.009013966582346785, 'B2': 0.013506465218080294}",EC
"('B1', 'B4', 'B5', 'B6')",38.41587649,0.800413169,"{'const': 538.8259806742967, 'B1': 0.240876166801696, 'B4': -1.4938043939732584, 'B5': 1.5545265380535158, 'B6': -0.4752910230430902}","{'const': 1.1963115850554121e-05, 'B1': 0.0001845450391759572, 'B4': 7.0154216703103925e-06, 'B5': 5.647692055814703e-06, 'B6': 0.0002595095256281884}",EC
"('B1', 'B4', 'B5', 'B7')",34.3563519,0.834710484,"{'const': 538.6208305818345, 'B1': 0.199988805914408, 'B4': -1.4397022474931955, 'B5': 1.4938030146658745, 'B7': -0.41815435674729473}","{'const': 2.8993952337236504e-06, 'B1': 7.83956694695384e-05, 'B4': 1.394594445378711e-06, 'B5': 8.315332364581501e-07, 'B7': 4.592469315406546e-05}",EC
"('B1', 'B4', 'B5', 'B8A')",38.91055337,0.815949344,"{'const': 581.5469097464841, 'B1': 0.21166392790568778, 'B4': -1.384640741828651, 'B5': 1.3263761937319278, 'B8A': -0.3580791093339435}","{'const': 4.860867464503764e-06, 'B1': 0.0001648477849021074, 'B4': 4.493544337620554e-06, 'B5': 2.335792048070666e-06, 'B8A': 0.00014881691534666402}",EC
"('B2', 'B4', 'B5', 'B7')",41.50607702,0.746951542,"{'const': 506.9590767206278, 'B2': 0.25239887654350995, 'B4': -1.6450830137348673, 'B5': 1.6398427537848077, 'B7': -0.4024793192086028}","{'const': 6.572450703066883e-05, 'B2': 0.002309083916421465, 'B4': 6.423029782579865e-05, 'B5': 3.2944500075748614e-05, 'B7': 0.0008088431256335611}",EC
"('B2', 'B4', 'B5', 'B8A')",44.23116786,0.725066457,"{'const': 549.4109433317427, 'B2': 0.2709452811929466, 'B4': -1.6182776086986328, 'B5': 1.498403494328131, 'B8A': -0.3466060779271416}","{'const': 7.715294080985679e-05, 'B2': 0.0031865916895147707, 'B4': 0.000132002424900612, 'B5': 6.461562729155699e-05, 'B8A': 0.0017318611169771195}",EC
"('B1', 'B2')",28.11679074,0.458804484,"{'const': 270.84264916554787, 'B1': 0.2835032712155069, 'B2': -0.32497651543408446}","{'const': 0.0001243413022359038, 'B1': 0.0014554806573038096, 'B2': 0.0019322852489742322}",TDS
